developerCountry,countryCode,userRatingCount,primaryGenreName,downloads,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,adSpent,appAge,averageUserRating,appContentBrandSafetyRating,appDescriptionBrandSafetyRating,mfaRating,coppaRisk
NORWAY,RO,127731,Sports,100 - 500,smartphone,True,True,low,99.0,14.017220031335052,160.4,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Medical,50 - 100,GLOBAL,True,False,high,99.0,0.0070385250412768,17.5,0.0,medium,low,low,False
UNITED ARAB EMIRATES,CZ,51143,Games,50000000 - 100000000,GLOBAL,True,True,low,0.0,31.883162966505576,30.766666666666666,4.0,medium,low,low,False
GERMANY,GLOBAL,1074,Games,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,71.53333333333333,4.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,17,Tools,1000 - 5000,GLOBAL,True,False,high,99.0,0.0070385250412768,52.4,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,50 - 100,GLOBAL,True,False,high,0.0,0.0070385250412768,37.7,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,237,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,88.26666666666665,0.0,medium,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,1 - 5,GLOBAL,True,False,high,99.0,0.0070385250412768,24.23333333333333,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,50 - 100,GLOBAL,True,False,high,99.0,0.0070385250412768,76.26666666666665,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,71.43333333333334,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,102.33333333333331,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,404,Games,10000 - 50000,GLOBAL,True,False,high,99.0,132.2359626609089,30.166666666666668,4.0,medium,high,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Education,10000 - 50000,GLOBAL,True,False,high,0.0,0.0070385250412768,74.33333333333333,3.0,medium,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,48,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,128.76666666666668,4.0,medium,low,low,False
FINLAND,GLOBAL,31,Games,50000 - 100000,tablet,True,False,high,0.0,0.0070385250412768,8.966666666666665,3.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Games,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,75.2,5.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,164,Tools,10000 - 50000,GLOBAL,True,False,high,0.0,0.0070385250412768,69.66666666666667,3.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,57.2,0.0,medium,high,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,112,Entertainment,10000 - 50000,GLOBAL,True,False,high,0.0,0.0070385250412768,60.36666666666667,4.0,medium,high,low,False
SINGAPORE,GLOBAL,0,Beauty,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,80.1,0.0,medium,low,low,False
UNITED STATES,GLOBAL,0,Business,10 - 50,GLOBAL,True,False,high,99.0,0.0070385250412768,91.2333333333333,5.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2,Health & Fitness,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,135.6,1.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,5 - 10,GLOBAL,True,False,high,0.0,0.0070385250412768,25.8,4.0,medium,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GT,21,Lifestyle,10000 - 50000,GLOBAL,True,False,high,0.0,0.0778148108732493,3.633333333333333,3.0,medium,low,low,False
REPUBLIC OF KOREA,GLOBAL,111,Entertainment,10000 - 50000,GLOBAL,True,False,high,99.0,0.0070385250412768,60.03333333333333,3.0,medium,low,low,True
MONGOLIA,RU,662,Games,100000 - 500000,tablet,True,True,low,99.0,0.9935487610944976,60.633333333333326,3.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,147,Education,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,41.96666666666666,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,50 - 100,GLOBAL,True,False,high,0.0,0.0070385250412768,54.5,4.0,medium,low,low,False
PAKISTAN,GLOBAL,30,Tools,5000 - 10000,GLOBAL,True,False,high,0.0,0.0070385250412768,83.66666666666667,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,9,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,12.533333333333331,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,57.23333333333333,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,27.4,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,120.76666666666668,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Events,5 - 10,GLOBAL,True,False,high,0.0,0.0070385250412768,89.63333333333334,5.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,19.566666666666663,4.0,medium,low,low,False
VIET NAM,EMEA,2653,Games,100000 - 500000,smartphone,True,False,high,0.0,126.90449835701334,5.9,4.0,medium,low,low,False
